year,party,votes
1998,BJP,94266188
1998,BSP,17186779
1998,CPM,18991867
1998,INC,95111131
1998,Others,124653095
1998,SP,18167640
1999,BJP,86562209
1999,BSP,15175845
1999,CPM,19695767
1999,INC,103120330
1999,Others,126166122
1999,SP,13717021
2004,BJP,86371561
2004,BSP,20765229
2004,CPM,22070614
2004,INC,103408949
2004,Others,140339359
2004,SP,16824072
2009,BJP,78435381
2009,BSP,25728920
2009,CPM,22219111
2009,INC,119111019
2009,IND,21647686
2009,Others,150017164
2014,AITC,21262665
2014,BJP,171660230
2014,BSP,22946346
2014,INC,106935942
2014,Others,212324674
2014,SP,18673089
2019,AITC,24929330
2019,BJP,229076879
2019,BSP,22246501
2019,INC,119495214
2019,IND,16467341
2019,Others,200931503
